# BRON: KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)
# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van dagwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde reeks maandtemperaturen van De Bilt <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/gehomogeniseerde-reeks-maandtemperaturen-de-bilt> of de Centraal Nederland Temperatuur <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# 
# STN      LON(east)   LAT(north)     ALT(m)  NAME
# 260:         5.177       52.101       2.00  DE BILT
# 
# YYYYMMDD = Datum (YYYY=jaar MM=maand DD=dag); 
# TX       = Maximum temperatuur (in 0.1 graden Celsius); 
# 
# STN,YYYYMMDD,   TX
# 
  260,20100101,    7
  260,20100102,   12
  260,20100103,  -10
  260,20100104,   -6
  260,20100105,   19
  260,20100106,   -5
  260,20100107,  -21
  260,20100108,  -21
  260,20100109,   -5
  260,20100110,    2
  260,20100111,    0
  260,20100112,   -7
  260,20100113,  -12
  260,20100114,   48
  260,20100115,   18
  260,20100116,   19
  260,20100117,   67
  260,20100118,   53
  260,20100119,   58
  260,20100120,   55
  260,20100121,   38
  260,20100122,   49
  260,20100123,   24
  260,20100124,    6
  260,20100125,   -6
  260,20100126,  -37
  260,20100127,   45
  260,20100128,   52
  260,20100129,   46
  260,20100130,   17
  260,20100131,   37
  260,20100201,   34
  260,20100202,   52
  260,20100203,   62
  260,20100204,   82
  260,20100205,   65
  260,20100206,   57
  260,20100207,   24
  260,20100208,    2
  260,20100209,  -15
  260,20100210,  -12
  260,20100211,   -8
  260,20100212,    9
  260,20100213,    0
  260,20100214,  -13
  260,20100215,  -10
  260,20100216,   17
  260,20100217,   26
  260,20100218,   57
  260,20100219,   53
  260,20100220,   51
  260,20100221,   42
  260,20100222,   83
  260,20100223,   44
  260,20100224,  102
  260,20100225,  110
  260,20100226,  103
  260,20100227,   91
  260,20100228,  109
  260,20100301,   70
  260,20100302,   80
  260,20100303,   71
  260,20100304,   58
  260,20100305,   60
  260,20100306,   32
  260,20100307,   39
  260,20100308,   52
  260,20100309,   56
  260,20100310,   48
  260,20100311,   58
  260,20100312,   68
  260,20100313,   73
  260,20100314,   85
  260,20100315,   92
  260,20100316,  109
  260,20100317,  136
  260,20100318,  173
  260,20100319,  147
  260,20100320,  167
  260,20100321,  123
  260,20100322,  125
  260,20100323,  137
  260,20100324,  179
  260,20100325,  197
  260,20100326,  124
  260,20100327,  127
  260,20100328,  116
  260,20100329,  127
  260,20100330,  138
  260,20100331,  102
  260,20100401,   86
  260,20100402,  136
  260,20100403,  107
  260,20100404,  106
  260,20100405,  109
  260,20100406,  160
  260,20100407,  195
  260,20100408,  133
  260,20100409,  157
  260,20100410,  121
  260,20100411,  103
  260,20100412,  149
  260,20100413,  152
  260,20100414,  154
  260,20100415,  153
  260,20100416,  120
  260,20100417,  166
  260,20100418,  180
  260,20100419,  134
  260,20100420,  125
  260,20100421,   98
  260,20100422,  120
  260,20100423,  148
  260,20100424,  193
  260,20100425,  235
  260,20100426,  168
  260,20100427,  189
  260,20100428,  230
  260,20100429,  252
  260,20100430,  146
  260,20100501,  149
  260,20100502,   87
  260,20100503,   75
  260,20100504,  112
  260,20100505,  132
  260,20100506,  139
  260,20100507,   94
  260,20100508,  109
  260,20100509,  118
  260,20100510,  110
  260,20100511,  115
  260,20100512,   77
  260,20100513,   92
  260,20100514,  128
  260,20100515,  146
  260,20100516,  155
  260,20100517,  159
  260,20100518,  157
  260,20100519,  171
  260,20100520,  207
  260,20100521,  201
  260,20100522,  198
  260,20100523,  237
  260,20100524,  225
  260,20100525,  181
  260,20100526,  130
  260,20100527,  154
  260,20100528,  172
  260,20100529,  210
  260,20100530,  159
  260,20100531,  172
  260,20100601,  185
  260,20100602,  214
  260,20100603,  216
  260,20100604,  233
  260,20100605,  265
  260,20100606,  261
  260,20100607,  188
  260,20100608,  230
  260,20100609,  201
  260,20100610,  217
  260,20100611,  201
  260,20100612,  191
  260,20100613,  166
  260,20100614,  215
  260,20100615,  168
  260,20100616,  220
  260,20100617,  231
  260,20100618,  159
  260,20100619,  157
  260,20100620,  140
  260,20100621,  182
  260,20100622,  209
  260,20100623,  259
  260,20100624,  270
  260,20100625,  246
  260,20100626,  255
  260,20100627,  284
  260,20100628,  298
  260,20100629,  266
  260,20100630,  270
  260,20100701,  284
  260,20100702,  336
  260,20100703,  278
  260,20100704,  258
  260,20100705,  236
  260,20100706,  209
  260,20100707,  257
  260,20100708,  289
  260,20100709,  344
  260,20100710,  327
  260,20100711,  293
  260,20100712,  258
  260,20100713,  265
  260,20100714,  286
  260,20100715,  225
  260,20100716,  241
  260,20100717,  211
  260,20100718,  233
  260,20100719,  275
  260,20100720,  293
  260,20100721,  259
  260,20100722,  235
  260,20100723,  226
  260,20100724,  204
  260,20100725,  198
  260,20100726,  206
  260,20100727,  212
  260,20100728,  223
  260,20100729,  207
  260,20100730,  227
  260,20100731,  215
  260,20100801,  228
  260,20100802,  201
  260,20100803,  221
  260,20100804,  201
  260,20100805,  202
  260,20100806,  233
  260,20100807,  208
  260,20100808,  209
  260,20100809,  223
  260,20100810,  225
  260,20100811,  213
  260,20100812,  203
  260,20100813,  210
  260,20100814,  242
  260,20100815,  202
  260,20100816,  223
  260,20100817,  180
  260,20100818,  199
  260,20100819,  210
  260,20100820,  276
  260,20100821,  259
  260,20100822,  225
  260,20100823,  214
  260,20100824,  199
  260,20100825,  205
  260,20100826,  204
  260,20100827,  172
  260,20100828,  184
  260,20100829,  167
  260,20100830,  179
  260,20100831,  187
  260,20100901,  185
  260,20100902,  177
  260,20100903,  196
  260,20100904,  195
  260,20100905,  197
  260,20100906,  205
  260,20100907,  150
  260,20100908,  210
  260,20100909,  208
  260,20100910,  183
  260,20100911,  233
  260,20100912,  191
  260,20100913,  191
  260,20100914,  167
  260,20100915,  171
  260,20100916,  172
  260,20100917,  150
  260,20100918,  167
  260,20100919,  162
  260,20100920,  181
  260,20100921,  186
  260,20100922,  225
  260,20100923,  208
  260,20100924,  178
  260,20100925,  150
  260,20100926,  144
  260,20100927,  127
  260,20100928,  150
  260,20100929,  142
  260,20100930,  149
  260,20101001,  170
  260,20101002,  182
  260,20101003,  223
  260,20101004,  220
  260,20101005,  195
  260,20101006,  192
  260,20101007,  169
  260,20101008,  163
  260,20101009,  194
  260,20101010,  179
  260,20101011,  162
  260,20101012,  134
  260,20101013,  130
  260,20101014,  125
  260,20101015,  128
  260,20101016,  103
  260,20101017,  107
  260,20101018,  126
  260,20101019,  127
  260,20101020,   93
  260,20101021,  115
  260,20101022,  125
  260,20101023,   86
  260,20101024,  117
  260,20101025,  113
  260,20101026,  101
  260,20101027,  107
  260,20101028,  136
  260,20101029,  131
  260,20101030,  134
  260,20101031,  133
  260,20101101,   92
  260,20101102,  130
  260,20101103,  147
  260,20101104,  159
  260,20101105,  150
  260,20101106,  116
  260,20101107,   82
  260,20101108,   80
  260,20101109,   53
  260,20101110,   85
  260,20101111,  107
  260,20101112,  128
  260,20101113,  115
  260,20101114,  132
  260,20101115,  106
  260,20101116,   60
  260,20101117,   53
  260,20101118,   69
  260,20101119,   87
  260,20101120,   94
  260,20101121,   83
  260,20101122,   63
  260,20101123,   76
  260,20101124,   63
  260,20101125,   48
  260,20101126,   38
  260,20101127,   16
  260,20101128,    5
  260,20101129,   -7
  260,20101130,   -5
  260,20101201,  -37
  260,20101202,  -61
  260,20101203,  -25
  260,20101204,    8
  260,20101205,   47
  260,20101206,   23
  260,20101207,  -13
  260,20101208,   -4
  260,20101209,   54
  260,20101210,   71
  260,20101211,   80
  260,20101212,   68
  260,20101213,   20
  260,20101214,    1
  260,20101215,   36
  260,20101216,   45
  260,20101217,   -6
  260,20101218,  -15
  260,20101219,  -39
  260,20101220,  -47
  260,20101221,  -16
  260,20101222,  -11
  260,20101223,    0
  260,20101224,   -3
  260,20101225,    6
  260,20101226,   48
  260,20101227,    9
  260,20101228,   12
  260,20101229,   18
  260,20101230,   19
  260,20101231,   37
