Country,Total,Recorded,Unrecorded,Beer,Wine,Spirits,Other,Projection
Croatia,17.5,14.4,3.2,17.3,5.2,46.6,30.9,17.1
Moldova,16.8,6.3,10.5,30.4,5.1,64.5,0,17.4
Russia,15.1,11.5,3.6,37.6,11.4,51,0,14.5
Romania,14.4,10.4,4,50,28.9,21.1,0,12.9
Ukraine,13.9,8.9,5,40.5,9,48,2.6,11.8
Andorra,13.8,12.4,1.4,34.6,45.3,20.1,0,9.1
Czech Republic,13,11.8,1.2,53.5,20.5,26,0,14.1
Slovakia,13,11.4,1.7,30.1,18.3,46.2,5.5,12.5
Australia,12.2,10.4,1.8,44,36.7,12.5,6.8,12.6
Belarus,12.2,10.2,2,39.5,44.8,15.4,0.2,11.7
Ireland,11.9,11.4,0.5,48.1,26.1,18.7,7.7,10.9
Luxembourg,11.9,11.4,0.5,36.2,42.8,21,0,11.2
Slovenia,11.6,10.6,1,44.5,46.9,8.6,0,10.9
United Kingdom,11.6,10.4,1.2,36.9,33.8,21.8,7.5,12
Denmark,11.4,10.4,1,37.7,48.2,14.1,0,10.2
Spain,11.2,10,1.2,49.7,20.1,28.2,1.8,10.6
Belgium,11,10.5,0.5,49.2,36.3,14.4,0.1,10.8
New Zealand,10.9,9.3,1.6,38.2,33.9,15.2,12.5,11.2
Gabon,10.9,8.9,2,68.3,11.9,19.8,0.1,11.8
Switzerland,10.7,10.2,0.5,31.8,49.4,17.6,1.2,10.4
Saint Lucia,10.4,10.1,0.2,29.7,12.6,56.1,1.5,10.4
Estonia,10.3,9.5,0.8,41.2,11.1,36.8,10.9,9.4
Greece,10.3,8.3,2,28.1,47.3,24.2,0.4,9.3
Kazakhstan,10.3,6.8,3.5,31.8,3.1,65.1,0,8.2
Canada,10.2,8.2,2,51.2,22,26.8,0,10.3
